transaction_id,region,category,amount_idr,timestamp,channel,age_group
TXN033554,Surabaya,F&B,88000,2024-05-18 10:06:14,online,18-24
TXN009428,Jakarta,F&B,609000,2023-08-17 21:53:40,offline,25-34
TXN000200,Jakarta,Fashion,1640000,2023-11-11 09:32:25,online,25-34
TXN012448,Jakarta,Healthcare,2921000,2023-05-27 21:41:50,online,25-34
TXN039490,Medan,Fashion,1500000,2023-10-25 11:51:33,offline,25-34
TXN042725,Bali,F&B,337500,2024-08-06 15:19:29,online,25-34
TXN010823,Jakarta,Electronics,14444000,2024-02-14 19:57:29,online,25-34
TXN049499,Bali,Education,1387500,2024-11-09 17:32:04,offline,35-44
TXN004145,Jakarta,Fashion,3115500,2024-12-15 12:03:19,online,35-44
TXN036959,Medan,Travel,838000,2024-10-22 12:35:27,offline,18-24
TXN043107,Bali,F&B,265500,2023-10-16 07:52:29,online,35-44
TXN038696,Medan,F&B,129500,2024-03-27 12:59:08,online,35-44
TXN006189,Jakarta,Healthcare,837500,2023-06-14 19:14:48,online,45+
TXN001415,Jakarta,Travel,1664500,2024-05-05 00:36:08,online,18-24
TXN018472,Yogyakarta,Education,1146000,2023-06-22 11:44:51,online,18-24
TXN029283,Surabaya,F&B,280500,2023-05-21 06:12:05,offline,18-24
TXN015178,Yogyakarta,Healthcare,217500,2023-11-27 07:23:54,online,18-24
TXN034305,Surabaya,Healthcare,388500,2023-03-29 20:41:16,online,35-44
TXN012610,Jakarta,Home & Living,1234500,2023-10-26 15:11:47,offline,25-34
TXN012145,Jakarta,F&B,413500,2024-11-22 10:47:44,online,25-34
TXN006114,Jakarta,F&B,222500,2023-02-25 16:06:54,offline,25-34
TXN015909,Yogyakarta,Electronics,2144000,2024-09-26 12:15:36,offline,45+
TXN000822,Jakarta,Electronics,5200500,2023-01-13 22:28:57,online,18-24
TXN015119,Yogyakarta,F&B,134000,2024-03-15 18:20:20,offline,45+
TXN013467,Jakarta,F&B,462000,2023-03-25 13:55:57,online,35-44
TXN026498,Surabaya,Travel,2972000,2023-08-22 18:28:03,online,18-24
TXN042112,Medan,Electronics,3773000,2024-02-27 21:02:51,online,25-34
TXN030189,Surabaya,Fashion,1877000,2023-04-29 18:48:58,offline,35-44
TXN037238,Medan,Healthcare,1650000,2024-01-28 09:45:38,offline,35-44
TXN033110,Surabaya,Travel,1418000,2024-06-11 20:01:23,online,35-44
TXN036481,Medan,F&B,268000,2023-01-14 16:51:22,online,35-44
TXN024149,Surabaya,Fashion,3387500,2023-03-07 08:27:43,online,35-44
TXN005504,Jakarta,Healthcare,895500,2023-10-12 12:59:40,online,45+
TXN003919,Jakarta,Healthcare,1265000,2023-09-21 20:19:46,online,25-34
TXN038479,Medan,Electronics,2146000,2024-02-15 20:10:49,online,18-24
TXN021124,Yogyakarta,Fashion,1081500,2023-05-23 19:29:36,offline,25-34
TXN049718,Bali,Fashion,1612000,2024-10-18 13:09:37,online,35-44
TXN042295,Medan,F&B,90000,2023-01-16 15:04:25,online,35-44
TXN047610,Bali,F&B,164500,2023-05-01 10:04:09,online,35-44
TXN011077,Jakarta,Travel,5910000,2024-03-03 17:23:00,online,45+
TXN041515,Medan,Electronics,5542000,2023-04-27 20:25:39,offline,25-34
TXN022063,Surabaya,Fashion,1462500,2024-12-27 15:29:28,online,18-24
TXN009414,Jakarta,Home & Living,1147000,2023-12-29 08:07:41,offline,18-24
TXN038341,Medan,F&B,96500,2024-05-04 11:59:46,online,18-24
TXN030264,Surabaya,F&B,97500,2023-11-14 11:49:52,offline,18-24
TXN041253,Medan,Travel,2262500,2023-02-09 15:25:56,offline,35-44
TXN014645,Jakarta,Fashion,2415500,2023-12-01 17:42:35,online,35-44
